"id","label","node_type","strain_id","module_id","entity_class","identifier","description","source_url"
"gene:vpar_nap","Napa periplasmic nitrate reductase (V. parvula)","gene","vpar_dsm2008","vpar_oral_nitrate_reduction","enzyme_cluster","napA/napB homologs","Periplasmic nitrate reductase; nitrate to nitrite. [CAVEAT] CAVEAT - it is not strain-DSM-2008-specific and does not evidence the nap/NapA gene assignment, so the gene-level rows should either cite a V. parvula genome/nap paper or be downgraded to inferred.","https://pubmed.ncbi.nlm.nih.gov/15693824/"
"compound:azo_4abp_dye","Azo-linked 4-aminobiphenyl precursor","compound","shared","","azo_dye","azo-4ABP","Representative azo-linked aromatic-amine precursor; reductive cleavage by gut azoreductase releases free 4-ABP. [CAVEAT] CAVEAT - a B. thetaiotaomicron-specific enzymology paper would be stronger; alternative supporting primary source: Rafii F, Franklin W, Cerniglia CE, Appl Environ Microbiol 1990, PMID 2202258, doi:10.1128/aem.56.7.2146-2151.1990.","https://pubmed.ncbi.nlm.nih.gov/36116790/"
"compound:afb1_n7_gluc","AFB1-N7-guanine glucuronide","compound","shared","","glucuronide_conjugate","AFB1-N7-guanine-Gluc","Host-conjugated AFB1-derived glucuronide; substrate for microbial beta-glucuronidase deconjugation. [CAVEAT] CAVEAT - AFB1-N7-guanine glucuronide is not itself an assayed substrate here, so that specific compound edge remains inferred.","https://pubmed.ncbi.nlm.nih.gov/28578872/"
"compound:nitrate","Nitrate","compound","shared","","inorganic_nitrogen","NO3-","Dietary nitrate entering the entero-salivary cycle. [CAVEAT] CAVEAT - it is not strain-DSM-2008-specific and does not evidence the nap/NapA gene assignment, so the gene-level rows should either cite a V. parvula genome/nap paper or be downgraded to inferred.","https://pubmed.ncbi.nlm.nih.gov/15693824/"
"compound:nitrite","Nitrite","compound","shared","","inorganic_nitrogen","NO2-","Reduced product of oral nitrate reduction; feeds N-nitrosation reactions in acidic stomach. [CAVEAT] CAVEAT - it is not strain-DSM-2008-specific and does not evidence the nap/NapA gene assignment, so the gene-level rows should either cite a V. parvula genome/nap paper or be downgraded to inferred.","https://pubmed.ncbi.nlm.nih.gov/15693824/"
"strain:mvan_pyr1","Mycobacterium vanbaalenii PYR-1","strain","mvan_pyr1","","organism","NCBI Taxonomy 350058","Aerobic actinomycete; canonical bacterial degrader of high-molecular-weight PAHs including pyrene, chrysene, and benzo[a]pyrene. Uses ring-hydroxylating dioxygenases (NidAB, PdoAB) that attack multiple ring positions in BaP, producing cis-dihydrodiols that feed downstream aerobic catabolism. Distinct from mammalian CYP1A1/1B1-derived arene-oxide route.","https://pubmed.ncbi.nlm.nih.gov/12508859/"
"module:mvan_pyr1_highmw_pah","M. vanbaalenii PYR-1 high-MW PAH degradation module","module","mvan_pyr1","mvan_pyr1_highmw_pah","pathway_module","","Ring-hydroxylating dioxygenase system: NidAB (nid) and PdoAB (pdo) large-subunit dioxygenases attack multiple ring positions in pyrene, chrysene, and benzo[a]pyrene. Feeds meta-cleavage and further oxidative catabolism.","https://pubmed.ncbi.nlm.nih.gov/16461648/"
"gene:mvan_nidab","NidAB PAH ring-hydroxylating dioxygenase (M. vanbaalenii)","gene","mvan_pyr1","mvan_pyr1_highmw_pah","enzyme_cluster","Mvan_0546-Mvan_0547 (nidA nidB)","PAH-active ring-hydroxylating dioxygenase; catalyzes initial oxidative attack on high-MW PAH substrates including pyrene and benzo[a]pyrene.","https://pubmed.ncbi.nlm.nih.gov/16461648/"
"gene:mvan_pdoab","PdoAB PAH ring-hydroxylating dioxygenase (M. vanbaalenii)","gene","mvan_pyr1","mvan_pyr1_highmw_pah","enzyme_cluster","Mvan_0470-Mvan_0471 (pdoA pdoB)","Second PAH ring-hydroxylating dioxygenase system; complements NidAB for broader PAH substrate range.","https://pubmed.ncbi.nlm.nih.gov/16461648/"
"compound:pyrene","Pyrene","compound","shared","","polycyclic_aromatic_hydrocarbon","pyrene","Four-ring high-MW PAH; canonical substrate for M. vanbaalenii PYR-1 ring-hydroxylating dioxygenases.","https://pubmed.ncbi.nlm.nih.gov/16461648/"
"compound:pyrene_dihydrodiol","Pyrene-4,5-cis-dihydrodiol (bacterial)","compound","shared","","aromatic_intermediate","pyrene-dihydrodiol","cis-dihydrodiol product of NidAB/PdoAB attack on pyrene; feeds meta-cleavage catabolism.","https://pubmed.ncbi.nlm.nih.gov/16461648/"
"strain:rpal_cga009","Rhodopseudomonas palustris CGA009","strain","rpal_cga009","","organism","NCBI Taxonomy 258594","Anoxygenic photosynthetic proteobacterium; carries the arsM S-adenosylmethionine-dependent arsenic methyltransferase. Methylates inorganic arsenite to monomethylarsonic acid (MMA) and dimethylarsinic acid (DMA), the same reactions catalyzed by human AS3MT but preserved in the microbial reference.","https://pubmed.ncbi.nlm.nih.gov/14704707/"
"module:rpal_arsm_methylation","R. palustris ArsM methylation module","module","rpal_cga009","rpal_arsm_methylation","pathway_module","","S-adenosylmethionine-dependent arsenic methyltransferase (ArsM) system. Catalyzes sequential methylation of arsenite to MMA and DMA; the microbial paralog of human AS3MT.","https://pubmed.ncbi.nlm.nih.gov/16452170/"
"gene:rpal_arsm","ArsM S-adenosylmethionine-dependent arsenic methyltransferase (R. palustris)","gene","rpal_cga009","rpal_arsm_methylation","enzyme_cluster","RPA0198 (arsM)","SAM-dependent methyltransferase; catalyzes arsenite methylation to MMA and DMA. Structurally and functionally analogous to human AS3MT.","https://pubmed.ncbi.nlm.nih.gov/16452170/"
"strain:fprau_a2165","Faecalibacterium prausnitzii A2-165","strain","fprau_a2165","","organism","NCBI Taxonomy 411483","Abundant obligate-anaerobe butyrate producer in the healthy human colon. Encodes arsenate reductase (ArsC) and arsenite efflux transporter (ArsB/Acr3) for arsenic tolerance; contributes to reductive arsenic transformations in the gut lumen, distinct from ArsM-mediated methylation.","https://pubmed.ncbi.nlm.nih.gov/12508881/"
"module:fprau_gut_arsenic","F. prausnitzii gut arsenic-tolerance module","module","fprau_a2165","fprau_gut_arsenic","pathway_module","","Arsenate reductase (ArsC) and arsenite efflux transporter (ArsB/Acr3) system. Reduces arsenate to arsenite and pumps arsenite out; representative of gut anaerobic arsenic-tolerance operons that shape luminal arsenic speciation. [CAVEAT] CAVEAT - not F. prausnitzii A2-165-specific and provides no enzymatic assay, so arsenate-to-arsenite edges remain genome-inferred.","https://pubmed.ncbi.nlm.nih.gov/25452698/"
"gene:fprau_arsc","ArsC arsenate reductase (F. prausnitzii)","gene","fprau_a2165","fprau_gut_arsenic","enzyme_cluster","arsC homolog","Cytoplasmic arsenate reductase; reduces As(V) to As(III). [CAVEAT] CAVEAT - not F. prausnitzii A2-165-specific and provides no enzymatic assay, so arsenate-to-arsenite edges remain genome-inferred.","https://pubmed.ncbi.nlm.nih.gov/25452698/"
"gene:fprau_arsb","ArsB/Acr3 arsenite efflux transporter (F. prausnitzii)","gene","fprau_a2165","fprau_gut_arsenic","enzyme_cluster","arsB/acr3 homolog","Arsenite efflux transporter; extrudes intracellular arsenite; primary tolerance mechanism. [CAVEAT] CAVEAT - not F. prausnitzii A2-165-specific and provides no enzymatic assay, so arsenate-to-arsenite edges remain genome-inferred.","https://pubmed.ncbi.nlm.nih.gov/25452698/"
"compound:mma","Monomethylarsonic acid","compound","shared","","methylated_arsenic","MMA","Monomethylated arsenic species; intermediate product of arsenite methylation; elevated urinary %MMA is the biomarker of AS3MT slow-methylator carriers.","https://pubmed.ncbi.nlm.nih.gov/16452170/"
"compound:dma","Dimethylarsinic acid","compound","shared","","methylated_arsenic","DMA","Dimethylated arsenic species; downstream methylation product of arsenite via MMA; principal urinary excretion form in fast-methylator individuals.","https://pubmed.ncbi.nlm.nih.gov/16452170/"
"extracellular:arsenite","Extracellular arsenite As(III)","location","shared","","extracellular_compartment","arsenite_extracellular","Extracellular pool of arsenite (As(III)) generated by Acr3-family efflux from cytoplasm to the periplasm/environment; detoxification endpoint for cytoplasmic arsenite in Geobacter and other bacteria.","https://pmc.ncbi.nlm.nih.gov/articles/PMC5288829/"
"compound:methylated_arsenicals","Methylated arsenicals (MMA/DMA/TMA)","compound","shared","","detoxification_product","MMA/DMA/TMA","Mono-, di-, and trimethylated arsenic species produced by SAM-dependent ArsM methylation of arsenite; volatile TMA can be eliminated as arsine gas in bacterial systems and represents a detoxification route distinct from Acr3-mediated efflux.","https://pubmed.ncbi.nlm.nih.gov/16452170/"
