edge_id,source_id,target_id,predicate,enzyme_or_system,strain_id,module_id,evidence_tier,evidence_type,effect,source_url,notes
edge:gene:gme_Gmet_1522_participates_in_pathway:kegg_gme01220,gene:gme_Gmet_1522,pathway:kegg_gme01220,participates_in,gene:gme_Gmet_1522,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1522,Degradation of aromatic compounds
edge:gene:gme_Gmet_1523_member_of_gene:gmet_bbs_efgh,gene:gme_Gmet_1523,gene:gmet_bbs_efgh,member_of,gene:gme_Gmet_1523,gmet_gs15,gmet_aromatics,1,kegg_gene_annotation,structural_annotation,https://rest.kegg.jp/get/gme:Gmet_1523,Individual KEGG locus expanded from seed cluster/operon node
edge:gene:gme_Gmet_1523_participates_in_pathway:kegg_gme00623,gene:gme_Gmet_1523,pathway:kegg_gme00623,participates_in,gene:gme_Gmet_1523,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1523,Toluene degradation
edge:gene:gme_Gmet_1523_participates_in_pathway:kegg_gme01100,gene:gme_Gmet_1523,pathway:kegg_gme01100,participates_in,gene:gme_Gmet_1523,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1523,Metabolic pathways
edge:gene:gme_Gmet_1523_participates_in_pathway:kegg_gme01120,gene:gme_Gmet_1523,pathway:kegg_gme01120,participates_in,gene:gme_Gmet_1523,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1523,Microbial metabolism in diverse environments
edge:gene:gme_Gmet_1523_participates_in_pathway:kegg_gme01220,gene:gme_Gmet_1523,pathway:kegg_gme01220,participates_in,gene:gme_Gmet_1523,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1523,Degradation of aromatic compounds
edge:gene:gme_Gmet_1524_member_of_gene:gmet_bbs_efgh,gene:gme_Gmet_1524,gene:gmet_bbs_efgh,member_of,gene:gme_Gmet_1524,gmet_gs15,gmet_aromatics,1,kegg_gene_annotation,structural_annotation,https://rest.kegg.jp/get/gme:Gmet_1524,Individual KEGG locus expanded from seed cluster/operon node
edge:gene:gme_Gmet_1524_participates_in_pathway:kegg_gme00623,gene:gme_Gmet_1524,pathway:kegg_gme00623,participates_in,gene:gme_Gmet_1524,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1524,Toluene degradation
edge:gene:gme_Gmet_1524_participates_in_pathway:kegg_gme01100,gene:gme_Gmet_1524,pathway:kegg_gme01100,participates_in,gene:gme_Gmet_1524,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1524,Metabolic pathways
edge:gene:gme_Gmet_1524_participates_in_pathway:kegg_gme01120,gene:gme_Gmet_1524,pathway:kegg_gme01120,participates_in,gene:gme_Gmet_1524,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1524,Microbial metabolism in diverse environments
edge:gene:gme_Gmet_1524_participates_in_pathway:kegg_gme01220,gene:gme_Gmet_1524,pathway:kegg_gme01220,participates_in,gene:gme_Gmet_1524,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_1524,Degradation of aromatic compounds
edge:gene:gme_Gmet_2100_member_of_gene:gmet_phenylphosphate_synthase,gene:gme_Gmet_2100,gene:gmet_phenylphosphate_synthase,member_of,gene:gme_Gmet_2100,gmet_gs15,gmet_aromatics,1,kegg_gene_annotation,structural_annotation,https://rest.kegg.jp/get/gme:Gmet_2100,Individual KEGG locus expanded from seed cluster/operon node
edge:gene:gme_Gmet_2100_participates_in_pathway:kegg_gme00627,gene:gme_Gmet_2100,pathway:kegg_gme00627,participates_in,gene:gme_Gmet_2100,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_2100,Aminobenzoate degradation
edge:gene:gme_Gmet_2100_participates_in_pathway:kegg_gme01120,gene:gme_Gmet_2100,pathway:kegg_gme01120,participates_in,gene:gme_Gmet_2100,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_2100,Microbial metabolism in diverse environments
edge:gene:gme_Gmet_2101_member_of_gene:gmet_phenylphosphate_synthase,gene:gme_Gmet_2101,gene:gmet_phenylphosphate_synthase,member_of,gene:gme_Gmet_2101,gmet_gs15,gmet_aromatics,1,kegg_gene_annotation,structural_annotation,https://rest.kegg.jp/get/gme:Gmet_2101,Individual KEGG locus expanded from seed cluster/operon node
edge:gene:gme_Gmet_2101_participates_in_pathway:kegg_gme00627,gene:gme_Gmet_2101,pathway:kegg_gme00627,participates_in,gene:gme_Gmet_2101,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_2101,Aminobenzoate degradation
edge:gene:gme_Gmet_2101_participates_in_pathway:kegg_gme01120,gene:gme_Gmet_2101,pathway:kegg_gme01120,participates_in,gene:gme_Gmet_2101,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_2101,Microbial metabolism in diverse environments
edge:gene:gme_Gmet_2102_member_of_gene:gmet_phenylphosphate_carboxylase,gene:gme_Gmet_2102,gene:gmet_phenylphosphate_carboxylase,member_of,gene:gme_Gmet_2102,gmet_gs15,gmet_aromatics,1,kegg_gene_annotation,structural_annotation,https://rest.kegg.jp/get/gme:Gmet_2102,Individual KEGG locus expanded from seed cluster/operon node
edge:gene:gme_Gmet_2125_member_of_gene:gmet_p_cresol_methylhydroxylase,gene:gme_Gmet_2125,gene:gmet_p_cresol_methylhydroxylase,member_of,gene:gme_Gmet_2125,gmet_gs15,gmet_aromatics,1,kegg_gene_annotation,structural_annotation,https://rest.kegg.jp/get/gme:Gmet_2125,Individual KEGG locus expanded from seed cluster/operon node
edge:gene:gme_Gmet_2125_participates_in_pathway:kegg_gme00623,gene:gme_Gmet_2125,pathway:kegg_gme00623,participates_in,gene:gme_Gmet_2125,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_2125,Toluene degradation
edge:gene:gme_Gmet_2125_participates_in_pathway:kegg_gme01100,gene:gme_Gmet_2125,pathway:kegg_gme01100,participates_in,gene:gme_Gmet_2125,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_2125,Metabolic pathways
edge:gene:gme_Gmet_2125_participates_in_pathway:kegg_gme01120,gene:gme_Gmet_2125,pathway:kegg_gme01120,participates_in,gene:gme_Gmet_2125,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_2125,Microbial metabolism in diverse environments
edge:gene:gme_Gmet_2126_member_of_gene:gmet_p_cresol_methylhydroxylase,gene:gme_Gmet_2126,gene:gmet_p_cresol_methylhydroxylase,member_of,gene:gme_Gmet_2126,gmet_gs15,gmet_aromatics,1,kegg_gene_annotation,structural_annotation,https://rest.kegg.jp/get/gme:Gmet_2126,Individual KEGG locus expanded from seed cluster/operon node
edge:gene:gme_Gmet_2131_member_of_gene:gmet_2131_dehydrogenase,gene:gme_Gmet_2131,gene:gmet_2131_dehydrogenase,member_of,gene:gme_Gmet_2131,gmet_gs15,gmet_aromatics,1,kegg_gene_annotation,structural_annotation,https://rest.kegg.jp/get/gme:Gmet_2131,Individual KEGG locus expanded from seed cluster/operon node
edge:gene:gme_Gmet_2131_participates_in_pathway:kegg_gme00627,gene:gme_Gmet_2131,pathway:kegg_gme00627,participates_in,gene:gme_Gmet_2131,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_2131,Aminobenzoate degradation
edge:gene:gme_Gmet_2131_participates_in_pathway:kegg_gme01100,gene:gme_Gmet_2131,pathway:kegg_gme01100,participates_in,gene:gme_Gmet_2131,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_2131,Metabolic pathways
edge:gene:gme_Gmet_2131_participates_in_pathway:kegg_gme01120,gene:gme_Gmet_2131,pathway:kegg_gme01120,participates_in,gene:gme_Gmet_2131,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_2131,Microbial metabolism in diverse environments
edge:gene:gme_Gmet_2235_member_of_gene:gmet_2235_dehydrogenase,gene:gme_Gmet_2235,gene:gmet_2235_dehydrogenase,member_of,gene:gme_Gmet_2235,gmet_gs15,gmet_aromatics,1,kegg_gene_annotation,structural_annotation,https://rest.kegg.jp/get/gme:Gmet_2235,Individual KEGG locus expanded from seed cluster/operon node
edge:gene:gme_Gmet_2235_participates_in_pathway:kegg_gme00650,gene:gme_Gmet_2235,pathway:kegg_gme00650,participates_in,gene:gme_Gmet_2235,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_2235,Butanoate metabolism
edge:gene:gme_Gmet_2235_participates_in_pathway:kegg_gme01110,gene:gme_Gmet_2235,pathway:kegg_gme01110,participates_in,gene:gme_Gmet_2235,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_2235,Biosynthesis of secondary metabolites
edge:gene:gme_Gmet_2134_member_of_gene:gmet_4hbcoa_reductase,gene:gme_Gmet_2134,gene:gmet_4hbcoa_reductase,member_of,gene:gme_Gmet_2134,gmet_gs15,gmet_aromatics,1,kegg_gene_annotation,structural_annotation,https://rest.kegg.jp/get/gme:Gmet_2134,Individual KEGG locus expanded from seed cluster/operon node
edge:gene:gme_Gmet_2135_member_of_gene:gmet_4hbcoa_reductase,gene:gme_Gmet_2135,gene:gmet_4hbcoa_reductase,member_of,gene:gme_Gmet_2135,gmet_gs15,gmet_aromatics,1,kegg_gene_annotation,structural_annotation,https://rest.kegg.jp/get/gme:Gmet_2135,Individual KEGG locus expanded from seed cluster/operon node
edge:gene:gme_Gmet_2136_member_of_gene:gmet_4hbcoa_reductase,gene:gme_Gmet_2136,gene:gmet_4hbcoa_reductase,member_of,gene:gme_Gmet_2136,gmet_gs15,gmet_aromatics,1,kegg_gene_annotation,structural_annotation,https://rest.kegg.jp/get/gme:Gmet_2136,Individual KEGG locus expanded from seed cluster/operon node
edge:gene:gme_Gmet_2143_member_of_gene:gmet_bam_y,gene:gme_Gmet_2143,gene:gmet_bam_y,member_of,gene:gme_Gmet_2143,gmet_gs15,gmet_aromatics,1,kegg_gene_annotation,structural_annotation,https://rest.kegg.jp/get/gme:Gmet_2143,Individual KEGG locus expanded from seed cluster/operon node
edge:gene:gme_Gmet_2087_member_of_gene:gmet_bamb,gene:gme_Gmet_2087,gene:gmet_bamb,member_of,gene:gme_Gmet_2087,gmet_gs15,gmet_aromatics,1,kegg_gene_annotation,structural_annotation,https://rest.kegg.jp/get/gme:Gmet_2087,Individual KEGG locus expanded from seed cluster/operon node
edge:gene:gme_Gmet_2087_participates_in_pathway:kegg_gme00362,gene:gme_Gmet_2087,pathway:kegg_gme00362,participates_in,gene:gme_Gmet_2087,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_2087,Benzoate degradation
edge:gene:gme_Gmet_2087_participates_in_pathway:kegg_gme01100,gene:gme_Gmet_2087,pathway:kegg_gme01100,participates_in,gene:gme_Gmet_2087,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_2087,Metabolic pathways
edge:gene:gme_Gmet_2087_participates_in_pathway:kegg_gme01120,gene:gme_Gmet_2087,pathway:kegg_gme01120,participates_in,gene:gme_Gmet_2087,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_2087,Microbial metabolism in diverse environments
edge:gene:gme_Gmet_2087_participates_in_pathway:kegg_gme01220,gene:gme_Gmet_2087,pathway:kegg_gme01220,participates_in,gene:gme_Gmet_2087,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_2087,Degradation of aromatic compounds
edge:gene:gme_Gmet_2087_participates_in_pathway:kegg_gme_M00541,gene:gme_Gmet_2087,pathway:kegg_gme_M00541,participates_in,gene:gme_Gmet_2087,gmet_gs15,gmet_aromatics,2,kegg_module_annotation,module_membership,https://rest.kegg.jp/get/gme:Gmet_2087,"Benzoyl-CoA degradation, benzoyl-CoA => 3-hydroxypimeloyl-CoA"
edge:gene:gme_Gmet_2086_member_of_gene:gmet_bamc,gene:gme_Gmet_2086,gene:gmet_bamc,member_of,gene:gme_Gmet_2086,gmet_gs15,gmet_aromatics,1,kegg_gene_annotation,structural_annotation,https://rest.kegg.jp/get/gme:Gmet_2086,Individual KEGG locus expanded from seed cluster/operon node
edge:gene:gme_Gmet_2086_participates_in_pathway:kegg_gme00362,gene:gme_Gmet_2086,pathway:kegg_gme00362,participates_in,gene:gme_Gmet_2086,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_2086,Benzoate degradation
edge:gene:gme_Gmet_2086_participates_in_pathway:kegg_gme01100,gene:gme_Gmet_2086,pathway:kegg_gme01100,participates_in,gene:gme_Gmet_2086,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_2086,Metabolic pathways
edge:gene:gme_Gmet_2086_participates_in_pathway:kegg_gme01120,gene:gme_Gmet_2086,pathway:kegg_gme01120,participates_in,gene:gme_Gmet_2086,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_2086,Microbial metabolism in diverse environments
edge:gene:gme_Gmet_2086_participates_in_pathway:kegg_gme01220,gene:gme_Gmet_2086,pathway:kegg_gme01220,participates_in,gene:gme_Gmet_2086,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_2086,Degradation of aromatic compounds
edge:gene:gme_Gmet_2086_participates_in_pathway:kegg_gme_M00541,gene:gme_Gmet_2086,pathway:kegg_gme_M00541,participates_in,gene:gme_Gmet_2086,gmet_gs15,gmet_aromatics,2,kegg_module_annotation,module_membership,https://rest.kegg.jp/get/gme:Gmet_2086,"Benzoyl-CoA degradation, benzoyl-CoA => 3-hydroxypimeloyl-CoA"
edge:gene:gme_Gmet_2150_member_of_gene:gmet_bamr,gene:gme_Gmet_2150,gene:gmet_bamr,member_of,gene:gme_Gmet_2150,gmet_gs15,gmet_aromatics,1,kegg_gene_annotation,structural_annotation,https://rest.kegg.jp/get/gme:Gmet_2150,Individual KEGG locus expanded from seed cluster/operon node
edge:gene:gme_Gmet_2150_participates_in_pathway:kegg_gme00362,gene:gme_Gmet_2150,pathway:kegg_gme00362,participates_in,gene:gme_Gmet_2150,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_2150,Benzoate degradation
edge:gene:gme_Gmet_2150_participates_in_pathway:kegg_gme01100,gene:gme_Gmet_2150,pathway:kegg_gme01100,participates_in,gene:gme_Gmet_2150,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_2150,Metabolic pathways
edge:gene:gme_Gmet_2150_participates_in_pathway:kegg_gme01120,gene:gme_Gmet_2150,pathway:kegg_gme01120,participates_in,gene:gme_Gmet_2150,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_2150,Microbial metabolism in diverse environments
edge:gene:gme_Gmet_2150_participates_in_pathway:kegg_gme01220,gene:gme_Gmet_2150,pathway:kegg_gme01220,participates_in,gene:gme_Gmet_2150,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_2150,Degradation of aromatic compounds
edge:gene:gme_Gmet_2150_participates_in_pathway:kegg_gme_M00541,gene:gme_Gmet_2150,pathway:kegg_gme_M00541,participates_in,gene:gme_Gmet_2150,gmet_gs15,gmet_aromatics,2,kegg_module_annotation,module_membership,https://rest.kegg.jp/get/gme:Gmet_2150,"Benzoyl-CoA degradation, benzoyl-CoA => 3-hydroxypimeloyl-CoA"
edge:gene:gme_Gmet_2151_member_of_gene:gmet_bamq,gene:gme_Gmet_2151,gene:gmet_bamq,member_of,gene:gme_Gmet_2151,gmet_gs15,gmet_aromatics,1,kegg_gene_annotation,structural_annotation,https://rest.kegg.jp/get/gme:Gmet_2151,Individual KEGG locus expanded from seed cluster/operon node
edge:gene:gme_Gmet_2151_participates_in_pathway:kegg_gme00362,gene:gme_Gmet_2151,pathway:kegg_gme00362,participates_in,gene:gme_Gmet_2151,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_2151,Benzoate degradation
edge:gene:gme_Gmet_2151_participates_in_pathway:kegg_gme01100,gene:gme_Gmet_2151,pathway:kegg_gme01100,participates_in,gene:gme_Gmet_2151,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_2151,Metabolic pathways
edge:gene:gme_Gmet_2151_participates_in_pathway:kegg_gme01120,gene:gme_Gmet_2151,pathway:kegg_gme01120,participates_in,gene:gme_Gmet_2151,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_2151,Microbial metabolism in diverse environments
edge:gene:gme_Gmet_2151_participates_in_pathway:kegg_gme01220,gene:gme_Gmet_2151,pathway:kegg_gme01220,participates_in,gene:gme_Gmet_2151,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_2151,Degradation of aromatic compounds
edge:gene:gme_Gmet_2151_participates_in_pathway:kegg_gme_M00541,gene:gme_Gmet_2151,pathway:kegg_gme_M00541,participates_in,gene:gme_Gmet_2151,gmet_gs15,gmet_aromatics,2,kegg_module_annotation,module_membership,https://rest.kegg.jp/get/gme:Gmet_2151,"Benzoyl-CoA degradation, benzoyl-CoA => 3-hydroxypimeloyl-CoA"
edge:gene:gme_Gmet_3305_member_of_gene:gmet_oah2,gene:gme_Gmet_3305,gene:gmet_oah2,member_of,gene:gme_Gmet_3305,gmet_gs15,gmet_aromatics,1,kegg_gene_annotation,structural_annotation,https://rest.kegg.jp/get/gme:Gmet_3305,Individual KEGG locus expanded from seed cluster/operon node
edge:gene:gme_Gmet_3305_participates_in_pathway:kegg_gme00362,gene:gme_Gmet_3305,pathway:kegg_gme00362,participates_in,gene:gme_Gmet_3305,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_3305,Benzoate degradation
edge:gene:gme_Gmet_3305_participates_in_pathway:kegg_gme01100,gene:gme_Gmet_3305,pathway:kegg_gme01100,participates_in,gene:gme_Gmet_3305,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_3305,Metabolic pathways
edge:gene:gme_Gmet_3305_participates_in_pathway:kegg_gme01120,gene:gme_Gmet_3305,pathway:kegg_gme01120,participates_in,gene:gme_Gmet_3305,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_3305,Microbial metabolism in diverse environments
edge:gene:gme_Gmet_3305_participates_in_pathway:kegg_gme01220,gene:gme_Gmet_3305,pathway:kegg_gme01220,participates_in,gene:gme_Gmet_3305,gmet_gs15,gmet_aromatics,2,kegg_pathway_annotation,pathway_membership,https://rest.kegg.jp/get/gme:Gmet_3305,Degradation of aromatic compounds
edge:gene:gme_Gmet_3305_participates_in_pathway:kegg_gme_M00541,gene:gme_Gmet_3305,pathway:kegg_gme_M00541,participates_in,gene:gme_Gmet_3305,gmet_gs15,gmet_aromatics,2,kegg_module_annotation,module_membership,https://rest.kegg.jp/get/gme:Gmet_3305,"Benzoyl-CoA degradation, benzoyl-CoA => 3-hydroxypimeloyl-CoA"
edge:gene:gsu_GSU2950_member_of_gene:gsu_ars_operon,gene:gsu_GSU2950,gene:gsu_ars_operon,member_of,gene:gsu_GSU2950,gsu_pca,gsu_arsenic,1,kegg_gene_annotation,structural_annotation,https://rest.kegg.jp/get/gsu:GSU2950,Individual KEGG locus expanded from seed cluster/operon node
edge:gene:gsu_GSU2951_member_of_gene:gsu_ars_operon,gene:gsu_GSU2951,gene:gsu_ars_operon,member_of,gene:gsu_GSU2951,gsu_pca,gsu_arsenic,1,kegg_gene_annotation,structural_annotation,https://rest.kegg.jp/get/gsu:GSU2951,Individual KEGG locus expanded from seed cluster/operon node
edge:gene:gsu_GSU2952_member_of_gene:gsu_ars_operon,gene:gsu_GSU2952,gene:gsu_ars_operon,member_of,gene:gsu_GSU2952,gsu_pca,gsu_arsenic,1,kegg_gene_annotation,structural_annotation,https://rest.kegg.jp/get/gsu:GSU2952,Individual KEGG locus expanded from seed cluster/operon node
edge:gene:gsu_GSU2953_member_of_gene:gsu_ars_operon,gene:gsu_GSU2953,gene:gsu_ars_operon,member_of,gene:gsu_GSU2953,gsu_pca,gsu_arsenic,1,kegg_gene_annotation,structural_annotation,https://rest.kegg.jp/get/gsu:GSU2953,Individual KEGG locus expanded from seed cluster/operon node
edge:gene:gsu_GSU2954_member_of_gene:gsu_ars_operon,gene:gsu_GSU2954,gene:gsu_ars_operon,member_of,gene:gsu_GSU2954,gsu_pca,gsu_arsenic,1,kegg_gene_annotation,structural_annotation,https://rest.kegg.jp/get/gsu:GSU2954,Individual KEGG locus expanded from seed cluster/operon node
edge:gene:gsu_GSU2955_member_of_gene:gsu_ars_operon,gene:gsu_GSU2955,gene:gsu_ars_operon,member_of,gene:gsu_GSU2955,gsu_pca,gsu_arsenic,1,kegg_gene_annotation,structural_annotation,https://rest.kegg.jp/get/gsu:GSU2955,Individual KEGG locus expanded from seed cluster/operon node
edge:gene:gsu_GSU2956_member_of_gene:gsu_ars_operon,gene:gsu_GSU2956,gene:gsu_ars_operon,member_of,gene:gsu_GSU2956,gsu_pca,gsu_arsenic,1,kegg_gene_annotation,structural_annotation,https://rest.kegg.jp/get/gsu:GSU2956,Individual KEGG locus expanded from seed cluster/operon node
edge:gene:gsu_GSU2957_member_of_gene:gsu_ars_operon,gene:gsu_GSU2957,gene:gsu_ars_operon,member_of,gene:gsu_GSU2957,gsu_pca,gsu_arsenic,1,kegg_gene_annotation,structural_annotation,https://rest.kegg.jp/get/gsu:GSU2957,Individual KEGG locus expanded from seed cluster/operon node
edge:gene:gsu_GSU2958_member_of_gene:gsu_ars_operon,gene:gsu_GSU2958,gene:gsu_ars_operon,member_of,gene:gsu_GSU2958,gsu_pca,gsu_arsenic,1,kegg_gene_annotation,structural_annotation,https://rest.kegg.jp/get/gsu:GSU2958,Individual KEGG locus expanded from seed cluster/operon node
edge:gene:gsu_GSU2959_member_of_gene:gsu_ars_operon,gene:gsu_GSU2959,gene:gsu_ars_operon,member_of,gene:gsu_GSU2959,gsu_pca,gsu_arsenic,1,kegg_gene_annotation,structural_annotation,https://rest.kegg.jp/get/gsu:GSU2959,Individual KEGG locus expanded from seed cluster/operon node
edge:gene:gsu_GSU2952_member_of_gene:gsu_arsr1,gene:gsu_GSU2952,gene:gsu_arsr1,member_of,gene:gsu_GSU2952,gsu_pca,gsu_arsenic,1,kegg_gene_annotation,structural_annotation,https://rest.kegg.jp/get/gsu:GSU2952,Individual KEGG locus expanded from seed cluster/operon node
edge:gene:gsu_GSU2953_member_of_gene:gsu_arsc,gene:gsu_GSU2953,gene:gsu_arsc,member_of,gene:gsu_GSU2953,gsu_pca,gsu_arsenic,1,kegg_gene_annotation,structural_annotation,https://rest.kegg.jp/get/gsu:GSU2953,Individual KEGG locus expanded from seed cluster/operon node
edge:gene:gsu_GSU2954_member_of_gene:gsu_acr3,gene:gsu_GSU2954,gene:gsu_acr3,member_of,gene:gsu_GSU2954,gsu_pca,gsu_arsenic,1,kegg_gene_annotation,structural_annotation,https://rest.kegg.jp/get/gsu:GSU2954,Individual KEGG locus expanded from seed cluster/operon node
edge:gene:gme_Gmet_0521_member_of_gene:gmet_arsc,gene:gme_Gmet_0521,gene:gmet_arsc,member_of,gene:gme_Gmet_0521,gmet_gs15,gmet_arsenic,1,kegg_gene_annotation,structural_annotation,https://rest.kegg.jp/get/gme:Gmet_0521,Individual KEGG locus expanded from seed cluster/operon node
edge:gene:gme_Gmet_0520_member_of_gene:gmet_acr3,gene:gme_Gmet_0520,gene:gmet_acr3,member_of,gene:gme_Gmet_0520,gmet_gs15,gmet_arsenic,1,kegg_gene_annotation,structural_annotation,https://rest.kegg.jp/get/gme:Gmet_0520,Individual KEGG locus expanded from seed cluster/operon node
edge:gene:gme_Gmet_2791_member_of_gene:gmet_arsm,gene:gme_Gmet_2791,gene:gmet_arsm,member_of,gene:gme_Gmet_2791,gmet_gs15,gmet_arsenic,1,kegg_gene_annotation,structural_annotation,https://rest.kegg.jp/get/gme:Gmet_2791,Individual KEGG locus expanded from seed cluster/operon node
