id,label,node_type,strain_id,module_id,entity_class,identifier,description,source_url,kegg_gene_ids,ko_ids,ec_numbers,kegg_pathways,kegg_modules,ncbi_protein_ids,uniprot_ids,pubchem_cid,kegg_compound,chebi_id,metacyc_candidate,metacyc_status,annotation_status
gene:gme_Gmet_2235,Gmet_2235 Gmet_2235,gene,gmet_gs15,gmet_aromatics,individual_locus,Gmet_2235,(GenBank) zinc-dependent alcohol dehydrogenase,https://rest.kegg.jp/get/gme:Gmet_2235,gme:Gmet_2235,K00004,1.1.1.303;1.1.1.4,gme00650;gme01110,,ABB32462,Q39TG2,,,,,,kegg_individual_locus
gene:gme_Gmet_2134,Gmet_2134 pcmR,gene,gmet_gs15,gmet_aromatics,individual_locus,Gmet_2134,(GenBank) 4-hydroxybenzoyl-CoA reductase flavoprotein subunit,https://rest.kegg.jp/get/gme:Gmet_2134,gme:Gmet_2134,K03519,1.2.5.3,,,ABB32363,Q39TR1,,,,,,kegg_individual_locus
gene:gme_Gmet_2135,Gmet_2135 pcmS,gene,gmet_gs15,gmet_aromatics,individual_locus,Gmet_2135,"(GenBank) 4-hydroxybenzoyl-CoA reductase iron-sulfur cluster-binding subunit, putative",https://rest.kegg.jp/get/gme:Gmet_2135,gme:Gmet_2135,,,,,ABB32364,Q39TR0,,,,,,kegg_individual_locus
gene:gme_Gmet_2136,Gmet_2136 pcmT,gene,gmet_gs15,gmet_aromatics,individual_locus,Gmet_2136,(GenBank) 4-hydroxybenzoyl-CoA reductase subunit,https://rest.kegg.jp/get/gme:Gmet_2136,gme:Gmet_2136,,,,,ABB32365,Q39TQ9,,,,,,kegg_individual_locus
gene:gme_Gmet_2143,Gmet_2143 bamY,gene,gmet_gs15,gmet_aromatics,individual_locus,Gmet_2143,(GenBank) benzoate--coenzyme A ligase,https://rest.kegg.jp/get/gme:Gmet_2143,gme:Gmet_2143,,,,,ABB32372,Q39TQ2,,,,,,kegg_individual_locus
gene:gme_Gmet_2087,Gmet_2087 bamB-1,gene,gmet_gs15,gmet_aromatics,individual_locus,Gmet_2087,"(GenBank) benzoyl-CoA reductase, putative",https://rest.kegg.jp/get/gme:Gmet_2087,gme:Gmet_2087,K19515,1.3.-.-,gme00362;gme01100;gme01120;gme01220,gme_M00541,ABB32316,Q39TV8,,,,,,kegg_individual_locus
gene:gme_Gmet_2086,Gmet_2086 bamC-1,gene,gmet_gs15,gmet_aromatics,individual_locus,Gmet_2086,"(GenBank) iron-sulfur cluster-binding oxidoreductase, putative benzoyl-CoA reductase electron transfer protein",https://rest.kegg.jp/get/gme:Gmet_2086,gme:Gmet_2086,K19516,1.3.-.-,gme00362;gme01100;gme01120;gme01220,gme_M00541,ABB32315,Q39TV9,,,,,,kegg_individual_locus
gene:gme_Gmet_2150,Gmet_2150 bamR,gene,gmet_gs15,gmet_aromatics,individual_locus,Gmet_2150,"(GenBank) cyclohexa-1,5-dienecarbonyl-CoA hydratase",https://rest.kegg.jp/get/gme:Gmet_2150,gme:Gmet_2150,K07537,4.2.1.100,gme00362;gme01100;gme01120;gme01220,gme_M00541,ABB32379,Q39TP5,,,,,,kegg_individual_locus
gene:gme_Gmet_2151,Gmet_2151 bamQ,gene,gmet_gs15,gmet_aromatics,individual_locus,Gmet_2151,(GenBank) 6-hydroxycyclohex-1-ene-1-carbonyl-CoA dehydrogenase,https://rest.kegg.jp/get/gme:Gmet_2151,gme:Gmet_2151,K07538,1.1.1.368,gme00362;gme01100;gme01120;gme01220,gme_M00541,ABB32380,Q39TP4,,,,,,kegg_individual_locus
gene:gme_Gmet_3305,Gmet_3305 Gmet_3305,gene,gmet_gs15,gmet_aromatics,individual_locus,Gmet_3305,(GenBank) enoyl-CoA hydratase/isomerase,https://rest.kegg.jp/get/gme:Gmet_3305,gme:Gmet_3305,K07539,3.7.1.21,gme00362;gme01100;gme01120;gme01220,gme_M00541,ABB33518,Q39QF6,,,,,,kegg_individual_locus
gene:gsu_GSU2950,GSU2950 GSU2950,gene,gsu_pca,gsu_arsenic,individual_locus,GSU2950,"(GenBank) ABC transporter, membrane protein",https://rest.kegg.jp/get/gsu:GSU2950,gsu:GSU2950,K02050,,,,AAR36342,Q748Q1,,,,,,kegg_individual_locus
gene:gsu_GSU2951,GSU2951 GSU2951,gene,gsu_pca,gsu_arsenic,individual_locus,GSU2951,"(GenBank) ABC transporter, ATP-binding protein",https://rest.kegg.jp/get/gsu:GSU2951,gsu:GSU2951,K02049,,,,AAR36343,Q748Q0,,,,,,kegg_individual_locus
gene:gsu_GSU2952,GSU2952 GSU2952,gene,gsu_pca,gsu_arsenic,individual_locus,GSU2952,"(GenBank) helix-turn-helix transcriptional regulator, ArsR family",https://rest.kegg.jp/get/gsu:GSU2952,gsu:GSU2952,K03892,,,,AAR36344,Q748P9,,,,,,kegg_individual_locus
gene:gsu_GSU2953,GSU2953 arsC,gene,gsu_pca,gsu_arsenic,individual_locus,GSU2953,(GenBank) arsenate reductase and protein tyrosine phosphatase,https://rest.kegg.jp/get/gsu:GSU2953,gsu:GSU2953,K03741,1.20.4.4,,,AAR36345,Q748P8,,,,,,kegg_individual_locus
gene:gsu_GSU2954,GSU2954 arsB,gene,gsu_pca,gsu_arsenic,individual_locus,GSU2954,(GenBank) arsenite efflux pump,https://rest.kegg.jp/get/gsu:GSU2954,gsu:GSU2954,K03325,,,,AAR36346,Q748P7,,,,,,kegg_individual_locus
gene:gsu_GSU2955,GSU2955 GSU2955,gene,gsu_pca,gsu_arsenic,individual_locus,GSU2955,(GenBank) membrane protein DUF318,https://rest.kegg.jp/get/gsu:GSU2955,gsu:GSU2955,K07089,,,,AAR36347,Q748P6,,,,,,kegg_individual_locus
gene:gsu_GSU2956,GSU2956 GSU2956,gene,gsu_pca,gsu_arsenic,individual_locus,GSU2956,(GenBank) redox-active disulfide protein 2,https://rest.kegg.jp/get/gsu:GSU2956,gsu:GSU2956,,,,,AAR36348,Q748P5,,,,,,kegg_individual_locus
gene:gsu_GSU2957,GSU2957 trx-2,gene,gsu_pca,gsu_arsenic,individual_locus,GSU2957,(GenBank) thioredoxin family protein,https://rest.kegg.jp/get/gsu:GSU2957,gsu:GSU2957,K03671,,,,AAR36349,Q748P4,,,,,,kegg_individual_locus
gene:gsu_GSU2958,GSU2958 dsbD,gene,gsu_pca,gsu_arsenic,individual_locus,GSU2958,(GenBank) thiol:disulfide interchange protein,https://rest.kegg.jp/get/gsu:GSU2958,gsu:GSU2958,K06196,,,,AAR36350,Q748P3,,,,,,kegg_individual_locus
gene:gsu_GSU2959,GSU2959 GSU2959,gene,gsu_pca,gsu_arsenic,individual_locus,GSU2959,"(GenBank) membrane protein, putative",https://rest.kegg.jp/get/gsu:GSU2959,gsu:GSU2959,,,,,AAR36351,Q748P2,,,,,,kegg_individual_locus
gene:gme_Gmet_0521,Gmet_0521 arsC,gene,gmet_gs15,gmet_arsenic,individual_locus,Gmet_0521,(GenBank) arsenate reductase and protein tyrosine phosphatase,https://rest.kegg.jp/get/gme:Gmet_0521,gme:Gmet_0521,K03741,1.20.4.4,,,ABB30764,Q39YB0,,,,,,kegg_individual_locus
gene:gme_Gmet_0520,Gmet_0520 arsB,gene,gmet_gs15,gmet_arsenic,individual_locus,Gmet_0520,(GenBank) arsenite efflux pump,https://rest.kegg.jp/get/gme:Gmet_0520,gme:Gmet_0520,K03325,,,,ABB30763,Q39YB1,,,,,,kegg_individual_locus
gene:gme_Gmet_2791,Gmet_2791 Gmet_2791,gene,gmet_gs15,gmet_arsenic,individual_locus,Gmet_2791,"(GenBank) SAM-dependent methyltransferase, putative",https://rest.kegg.jp/get/gme:Gmet_2791,gme:Gmet_2791,K07755,2.1.1.137,,,ABB33009,Q39RW5,,,,,,kegg_individual_locus
pathway:kegg_gme00623,KEGG gme00623 Toluene degradation,pathway,gmet_gs15,gmet_aromatics,kegg_pathway,gme00623,Toluene degradation,https://www.kegg.jp/pathway/gme00623,,,,gme00623,,,,,,,,,kegg_pathway_node
pathway:kegg_gme01100,KEGG gme01100 Metabolic pathways,pathway,gmet_gs15,gmet_aromatics,kegg_pathway,gme01100,Metabolic pathways,https://www.kegg.jp/pathway/gme01100,,,,gme01100,,,,,,,,,kegg_pathway_node
pathway:kegg_gme01120,KEGG gme01120 Microbial metabolism in diverse environments,pathway,gmet_gs15,gmet_aromatics,kegg_pathway,gme01120,Microbial metabolism in diverse environments,https://www.kegg.jp/pathway/gme01120,,,,gme01120,,,,,,,,,kegg_pathway_node
pathway:kegg_gme01220,KEGG gme01220 Degradation of aromatic compounds,pathway,gmet_gs15,gmet_aromatics,kegg_pathway,gme01220,Degradation of aromatic compounds,https://www.kegg.jp/pathway/gme01220,,,,gme01220,,,,,,,,,kegg_pathway_node
pathway:kegg_gme00627,KEGG gme00627 Aminobenzoate degradation,pathway,gmet_gs15,gmet_aromatics,kegg_pathway,gme00627,Aminobenzoate degradation,https://www.kegg.jp/pathway/gme00627,,,,gme00627,,,,,,,,,kegg_pathway_node
pathway:kegg_gme00650,KEGG gme00650 Butanoate metabolism,pathway,gmet_gs15,gmet_aromatics,kegg_pathway,gme00650,Butanoate metabolism,https://www.kegg.jp/pathway/gme00650,,,,gme00650,,,,,,,,,kegg_pathway_node
pathway:kegg_gme01110,KEGG gme01110 Biosynthesis of secondary metabolites,pathway,gmet_gs15,gmet_aromatics,kegg_pathway,gme01110,Biosynthesis of secondary metabolites,https://www.kegg.jp/pathway/gme01110,,,,gme01110,,,,,,,,,kegg_pathway_node
pathway:kegg_gme00362,KEGG gme00362 Benzoate degradation,pathway,gmet_gs15,gmet_aromatics,kegg_pathway,gme00362,Benzoate degradation,https://www.kegg.jp/pathway/gme00362,,,,gme00362,,,,,,,,,kegg_pathway_node
pathway:kegg_gme_M00541,"KEGG gme_M00541 Benzoyl-CoA degradation, benzoyl-CoA => 3-hydroxypimeloyl-CoA",pathway,gmet_gs15,gmet_aromatics,kegg_module,gme_M00541,"Benzoyl-CoA degradation, benzoyl-CoA => 3-hydroxypimeloyl-CoA",https://www.kegg.jp/module/gme_M00541,,,,,gme_M00541,,,,,,,,kegg_module_node
extracellular:arsenite,Extracellular arsenite As(III),compound,,gsu_arsenic;gmet_arsenic,exported_toxicant,extracellular_pool,Extracellular arsenite pool after Acr3-mediated efflux,https://pmc.ncbi.nlm.nih.gov/articles/PMC5288829/,,,,,,,,544,C06697,CHEBI:22632,,,endpoint_node
compound:methylated_arsenicals,Methylated arsenicals,compound,,gmet_arsenic,predicted_arsenic_product_class,class_node,Predicted ArsM product class; individual methylated arsenic species not resolved in this seed graph,https://pmc.ncbi.nlm.nih.gov/articles/PMC5288829/,,,,,,,,,,,,,endpoint_class_node
